sample	 AHL	 IPTG	 fluo	 maximun
R	 0.025	 1	 GREEN	 411.5
R	 0.025	 1	 RED	 644.5
R	 0.05	 0	 GREEN	 877
R	 0.05	 0	 RED	 299
R	 0.05	 0.0625	 GREEN	 739.25
R	 0.05	 0.0625	 RED	 589.5
R	 0.05	 0.125	 GREEN	 814
R	 0.05	 0.125	 RED	 633
R	 0.05	 0.25	 GREEN	 403.5
R	 0.05	 0.25	 RED	 663
R	 0.05	 0.5	 GREEN	 415.5
R	 0.05	 0.5	 RED	 689
R	 0.05	 1	 GREEN	 419
R	 0.05	 1	 RED	 703
R	 0.1	 0	 GREEN	 875
R	 0.1	 0	 RED	 672
R	 0.1	 0.0625	 GREEN	 404.5
R	 0.1	 0.0625	 RED	 656
R	 0.1	 0.125	 GREEN	 406.5
R	 0.1	 0.125	 RED	 688.5
R	 0.1	 0.25	 GREEN	 400
R	 0.1	 0.25	 RED	 699.5
R	 0.1	 0.5	 GREEN	 389.5
R	 0.1	 0.5	 RED	 724
R	 0.1	 1	 GREEN	 383.5
R	 0.1	 1	 RED	 735.75
R	 10	 0	 GREEN	 906.75
R	 10	 0	 RED	 820
R	 10	 0.0625	 GREEN	 354
R	 10	 0.0625	 RED	 803.5
R	 10	 0.125	 GREEN	 330
R	 10	 0.125	 RED	 785
R	 10	 0.25	 GREEN	 316
R	 10	 0.25	 RED	 769.5
R	 10	 0.5	 GREEN	 308.5
R	 10	 0.5	 RED	 756.5
R	 10	 1	 GREEN	 305
R	 10	 1	 RED	 748.5
