sample	 AHL	 IPTG	 fluo	 gate	 mean	 sd
G	 0.025	 0.5	 RED	 2	 532.5	 10.6066017177982
G	 0.025	 1	 GREEN	 1	 620.25	 32.1733585439879
G	 0.025	 1	 GREEN	 2	 316.5	 14.8492424049175
G	 0.025	 1	 RED	 1	 584.5	 9.19238815542512
G	 0.025	 1	 RED	 2	 557	 18.3847763108502
G	 0.05	 0	 GREEN	 1	 735	 90.5096679918781
G	 0.05	 0	 GREEN	 2	 NA	 NA
G	 0.05	 0	 RED	 1	 284	 1.4142135623731
G	 0.05	 0	 RED	 2	 NA	 NA
G	 0.05	 0.0625	 GREEN	 1	 756	 16.9705627484771
G	 0.05	 0.0625	 GREEN	 2	 NA	 NA
G	 0.05	 0.0625	 RED	 1	 385	 1.4142135623731
G	 0.05	 0.0625	 RED	 2	 NA	 NA
G	 0.05	 0.125	 GREEN	 1	 753	 12.7279220613579
G	 0.05	 0.125	 GREEN	 2	 NA	 NA
G	 0.05	 0.125	 RED	 1	 400	 1.4142135623731
G	 0.05	 0.125	 RED	 2	 NA	 NA
G	 0.05	 0.25	 GREEN	 1	 767	 25.4558441227157
G	 0.05	 0.25	 GREEN	 2	 299.5	 13.4350288425444
G	 0.05	 0.25	 RED	 1	 432	 15.556349186104
G	 0.05	 0.25	 RED	 2	 580	 21.2132034355964
G	 0.05	 0.5	 GREEN	 1	 NA	 NA
G	 0.05	 0.5	 GREEN	 2	 351	 16.9705627484771
G	 0.05	 0.5	 RED	 1	 NA	 NA
G	 0.05	 0.5	 RED	 2	 649.5	 2.12132034355964
G	 0.05	 1	 GREEN	 1	 NA	 NA
G	 0.05	 1	 GREEN	 2	 353.5	 21.920310216783
G	 0.05	 1	 RED	 1	 NA	 NA
G	 0.05	 1	 RED	 2	 664	 16.9705627484771
G	 0.1	 0	 GREEN	 1	 755	 11.3137084989848
G	 0.1	 0	 GREEN	 2	 NA	 NA
G	 0.1	 0	 RED	 1	 285	 0
G	 0.1	 0	 RED	 2	 NA	 NA
G	 0.1	 0.0625	 GREEN	 1	 751.5	 9.19238815542512
G	 0.1	 0.0625	 GREEN	 2	 NA	 NA
G	 0.1	 0.0625	 RED	 1	 336	 4.24264068711928
G	 0.1	 0.0625	 RED	 2	 NA	 NA
G	 0.1	 0.125	 GREEN	 1	 741	 1.4142135623731
G	 0.1	 0.125	 GREEN	 2	 NA	 NA
G	 0.1	 0.125	 RED	 1	 329.5	 37.476659402887
G	 0.1	 0.125	 RED	 2	 NA	 NA
G	 0.1	 0.25	 GREEN	 1	 718	 NA
G	 0.1	 0.25	 GREEN	 2	 274	 NA
