sample	 AHL	 IPTG	 fluo	 mean	 sd
R	 0	 0.125	 RED	 398	 8.08290376865476
R	 0	 0.25	 GREEN	 464.5	 2.88675134594813
R	 0	 0.25	 RED	 404	 15.0111069989303
R	 0	 0.5	 GREEN	 482.5	 23.6713610367747
R	 0	 0.5	 RED	 424.5	 8.66025403784439
R	 0	 1	 GREEN	 474	 4.61880215351701
R	 0	 1	 RED	 433	 18.475208614068
R	 0.003125	 0	 GREEN	 566.5	 0.577350269189626
R	 0.003125	 0	 RED	 288	 5.77350269189626
R	 0.003125	 0.0625	 GREEN	 569	 17.3205080756888
R	 0.003125	 0.0625	 RED	 351	 6.92820323027551
R	 0.003125	 0.125	 GREEN	 543	 23.094010767585
R	 0.003125	 0.125	 RED	 385	 4.61880215351701
R	 0.003125	 0.25	 GREEN	 465.5	 4.04145188432738
R	 0.003125	 0.25	 RED	 440	 5.77350269189626
R	 0.003125	 0.5	 GREEN	 353.5	 4.04145188432738
R	 0.003125	 0.5	 RED	 464	 0
R	 0.003125	 1	 GREEN	 353.5	 4.04145188432738
R	 0.003125	 1	 RED	 496	 19.6299091524473
R	 0.00625	 0	 GREEN	 591.5	 0.577350269189626
R	 0.00625	 0	 RED	 290.5	 19.0525588832576
R	 0.00625	 0.0625	 GREEN	 644.5	 23.6713610367747
R	 0.00625	 0.0625	 RED	 351	 6.92820323027551
R	 0.00625	 0.125	 GREEN	 573.5	 15.5884572681199
R	 0.00625	 0.125	 RED	 396.5	 5.19615242270663
R	 0.00625	 0.25	 GREEN	 357	 0
R	 0.00625	 0.25	 RED	 514	 10.3923048454133
R	 0.00625	 0.5	 GREEN	 347.5	 2.88675134594813
R	 0.00625	 0.5	 RED	 525.5	 2.88675134594813
R	 0.00625	 1	 GREEN	 350	 0
R	 0.00625	 1	 RED	 531	 21.9393102292058
R	 0.0125	 0	 GREEN	 696	 27.712812921102
R	 0.0125	 0	 RED	 296	 2.3094010767585
R	 0.0125	 0.0625	 GREEN	 691.5	 16.7431578064991
R	 0.0125	 0.0625	 RED	 370.5	 23.6713610367747
R	 0.0125	 0.125	 GREEN	 339	 6.92820323027551
R	 0.0125	 0.125	 RED	 498	 0
R	 0.0125	 0.25	 GREEN	 351	 6.92820323027551
R	 0.0125	 0.25	 RED	 518.5	 7.50555349946513
R	 0.0125	 0.5	 GREEN	 345	 0
R	 0.0125	 0.5	 RED	 548	 20.7846096908265
R	 0.0125	 1	 GREEN	 345	 0
R	 0.0125	 1	 RED	 562	 31.1769145362398
R	 0.025	 0	 GREEN	 847.5	 5.19615242270663
R	 0.025	 0	 RED	 292.5	 16.7431578064991
R	 0.025	 0.0625	 GREEN	 559	 241.332412521264
R	 0.025	 0.0625	 RED	 395	 6.92820323027551
R	 0.025	 0.125	 GREEN	 345	 0
R	 0.025	 0.125	 RED	 556.5	 0.577350269189626
R	 0.025	 0.25	 GREEN	 345	 0
R	 0.025	 0.25	 RED	 571	 9.23760430703401
R	 0.025	 0.5	 GREEN	 351	 6.92820323027551
R	 0.025	 0.5	 RED	 596.5	 38.6824680357049
R	 0.025	 1	 GREEN	 345	 0
R	 0.025	 1	 RED	 601	 50.8068236886871
R	 0.05	 0	 GREEN	 895.5	 12.1243556529821
R	 0.05	 0	 RED	 306.5	 5.19615242270663
R	 0.05	 0.0625	 GREEN	 351	 6.92820323027551
R	 0.05	 0.0625	 RED	 544.5	 25.9807621135332
R	 0.05	 0.125	 GREEN	 345	 0
R	 0.05	 0.125	 RED	 592	 8.08290376865476
R	 0.05	 0.25	 GREEN	 364.5	 22.5166604983954
R	 0.05	 0.25	 RED	 638.5	 4.04145188432738
R	 0.05	 0.5	 GREEN	 351	 6.92820323027551
R	 0.05	 0.5	 RED	 670.5	 10.9696551146029
R	 0.05	 1	 GREEN	 345	 0
R	 0.05	 1	 RED	 723.5	 61.77647880329
R	 0.1	 0	 GREEN	 951	 81.9837382249269
R	 0.1	 0	 RED	 308.5	 1.73205080756888
R	 0.1	 0.0625	 GREEN	 324	 30.0222139978605
R	 0.1	 0.0625	 RED	 613	 33.4863156129983
R	 0.1	 0.125	 GREEN	 292.5	 21.3619599600162
R	 0.1	 0.125	 RED	 703	 16.1658075373095
R	 0.1	 0.25	 GREEN	 271	 3.46410161513775
R	 0.1	 0.25	 RED	 701	 19.6299091524473
R	 0.1	 0.5	 GREEN	 309	 47.3427220735493
R	 0.1	 0.5	 RED	 744	 64.6632301492381
R	 0.1	 1	 GREEN	 306	 45.0333209967908
R	 0.1	 1	 RED	 734.5	 98.726896031426
R	 10	 0	 GREEN	 707	 363.730669589464
R	 10	 0	 RED	 832	 4.61880215351701
R	 10	 0.0625	 GREEN	 350	 0
R	 10	 0.0625	 RED	 830.5	 4.04145188432738
R	 10	 0.125	 GREEN	 263.5	 4.04145188432738
R	 10	 0.125	 RED	 798.5	 15.5884572681199
R	 10	 0.25	 GREEN	 264.5	 10.9696551146029
R	 10	 0.25	 RED	 791.5	 19.0525588832576
R	 10	 0.5	 GREEN	 254	 1.15470053837925
R	 10	 0.5	 RED	 757.5	 0.577350269189626
R	 10	 1	 GREEN	 271	 3.46410161513775
R	 10	 1	 RED	 768	 15.0111069989303
