sample	 AHL	 IPTG	 gate	 mean	 sd
G	 0.05	 0.25	 GREEN	 0.503192666214621	 0.170943336700648
G	 0.05	 0.25	 RED	 0.452252141632613	 0.163888875427157
G	 0.05	 0.5	 GREEN	 0.00606172212854692	 0.00199819272748679
G	 0.05	 0.5	 RED	 0.991711454473133	 0.00242610072817994
G	 0.05	 1	 GREEN	 0.000817883515756435	 0.000466916257724979
G	 0.05	 1	 RED	 0.998414396434628	 0.000756535164526947
G	 0.1	 0	 GREEN	 0.936178699641005	 0
G	 0.1	 0	 RED	 0.00638213003589948	 0
G	 0.1	 0.0625	 GREEN	 0.96885982507375	 0.00890230956562605
G	 0.1	 0.0625	 RED	 0.00151244274003845	 0.000490688745530599
G	 0.1	 0.125	 GREEN	 0.959895286159466	 0.00578531376366912
G	 0.1	 0.125	 RED	 0.00372707133706575	 0.00115145153391216
G	 0.1	 0.25	 GREEN	 0.339795370533357	 0.0175567938309899
G	 0.1	 0.25	 RED	 0.467900017602535	 0.101498197649193
G	 0.1	 0.5	 GREEN	 0.00832132419291842	 0.00688708445125526
G	 0.1	 0.5	 RED	 0.923843418766583	 0.0384508794208108
G	 0.1	 1	 GREEN	 0.00048257890165042	 0.000557234117546208
G	 0.1	 1	 RED	 0.953411832834669	 0.0360307580405378
G	 10	 0	 GREEN	 0.848958333333333	 0
G	 10	 0	 RED	 0.0520833333333333	 0
G	 10	 0.0625	 GREEN	 0.432582595342929	 0.491877255378719
G	 10	 0.0625	 RED	 0.545759502102006	 0.515578315629403
G	 10	 0.125	 GREEN	 0.274564726133873	 0.21092038606602
G	 10	 0.125	 RED	 0.639166306466168	 0.223710040151226
G	 10	 0.25	 GREEN	 0.000863668056182958	 0.000179666825549419
G	 10	 0.25	 RED	 0.998932865757187	 0.000297807748806815
G	 10	 0.5	 GREEN	 0.000152235729737234	 5.57554380923777e-05
G	 10	 0.5	 RED	 0.999487628332625	 0.000128551605806814
G	 10	 1	 GREEN	 5.00550605666233e-05	 5.77986053848859e-05
G	 10	 1	 RED	 0.999641385070677	 0.000182898430420202
R	 0	 0	 GREEN	 0.169941551274333	 0.0470827812088238
R	 0	 0	 RED	 5.01705799719045e-05	 5.79319957043574e-05
R	 0	 0.0625	 GREEN	 0.240643920623574	 0.0146845634170733
R	 0	 0.0625	 RED	 5.21104742053153e-05	 6.01719926200756e-05
R	 0	 0.125	 GREEN	 0.235676830777257	 0.00865950103775415
R	 0	 0.125	 RED	 0.00010366991499067	 0.000119707706653458
R	 0	 0.25	 GREEN	 0.231290774414589	 0.0129303813287797
R	 0	 0.25	 RED	 0.000159812486682293	 0.00018453556441177
R	 0	 0.5	 GREEN	 0.246975582511174	 0.0370563774167989
R	 0	 0.5	 RED	 0.00015671358537477	 6.07635965363834e-05
R	 0	 1	 GREEN	 0.282753795260764	 0.0374313308077919
R	 0	 1	 RED	 0.000413974892663754	 1.36046244392696e-06
R	 0.003125	 0	 GREEN	 0.469866147642714	 0.00395019003312348
R	 0.003125	 0	 RED	 0.00025489396411093	 0.000294326197588512
R	 0.003125	 0.0625	 GREEN	 0.502772890575487	 0.0497007214915316
R	 0.003125	 0.0625	 RED	 5.51632833186231e-05	 6.36970729467813e-05
R	 0.003125	 0.125	 GREEN	 0.441498378951159	 0.0701705046500932
R	 0.003125	 0.125	 RED	 0.00108557007277043	 6.53152417269522e-06
R	 0.003125	 0.25	 GREEN	 0.334861146750782	 0.0918159486455973
R	 0.003125	 0.25	 RED	 0.0859305386014953	 0.0227729891431495
R	 0.003125	 0.5	 GREEN	 0.267086703993149	 0.0530775622683786
R	 0.003125	 0.5	 RED	 0.261611150878088	 0.00687263249552202
R	 0.003125	 1	 GREEN	 0.216769812976014	 0.0109526524024853
R	 0.003125	 1	 RED	 0.429472230541989	 0.136013851943967
R	 0.00625	 0	 GREEN	 0.718224472682505	 0.0259782147029834
R	 0.00625	 0	 RED	 0.000352832114780583	 0.000283746102448099
R	 0.00625	 0.0625	 GREEN	 0.810325579844625	 0.00696154157073191
R	 0.00625	 0.0625	 RED	 0.000424248570697611	 3.79268680330413e-06
R	 0.00625	 0.125	 GREEN	 0.472628933566434	 0.100241431134431
R	 0.00625	 0.125	 RED	 0.0746926684426684	 0.00408948429932989
R	 0.00625	 0.25	 GREEN	 0.328245247292086	 0.0968588141245939
R	 0.00625	 0.25	 RED	 0.406330237564392	 0.0774328296612173
R	 0.00625	 0.5	 GREEN	 0.200766328282887	 0.0197371333686497
R	 0.00625	 0.5	 RED	 0.666662685217768	 0.0061735756438498
R	 0.00625	 1	 GREEN	 0.171012578957148	 0.00149226291873885
R	 0.00625	 1	 RED	 0.748877459396559	 0.0324281408948449
