sample	 AHL	 IPTG	 rep	 m_GREEN	 sd_GREEN	 m_RED	 sd_mCherry
R	 0	 0.125	 1	 539.569535743632	 99.6363778903392	 412.911257189811	 54.8762265371214
R	 0	 0.25	 1	 539.959366754617	 102.696362602211	 433.942480211082	 56.6034109546312
R	 0	 0.5	 1	 549.430977474685	 106.293250875411	 447.009092787766	 58.56464664018
R	 0	 1	 1	 561.75787965616	 113.970629482938	 458.52599263201	 60.5809746335604
R	 0.003125	 0	 1	 604.80607783122	 92.8800260750092	 295.072474857892	 40.1802609142026
R	 0.003125	 0.0625	 1	 623.542160809488	 98.2193861425559	 386.506364922207	 55.2051583450818
R	 0.003125	 0.125	 1	 610.798780487805	 101.938888643526	 402.294715447154	 55.3826946344915
R	 0.003125	 0.25	 1	 570.272986683576	 135.02508423366	 445.033396744874	 63.2774048099222
R	 0.003125	 0.5	 1	 514.393465013658	 153.835084120597	 485.586152553057	 59.0727293657895
R	 0.003125	 1	 1	 460.547285373196	 153.935011012433	 523.977473268971	 64.219467155706
R	 0.00625	 0	 1	 650.294453852667	 91.9555162068842	 298.229254868755	 37.7882898051953
R	 0.00625	 0.0625	 1	 675.390073917635	 96.477802204397	 388.446356916579	 55.2351134503632
R	 0.00625	 0.125	 1	 602.814415192059	 137.337284867733	 426.739533880017	 64.5061216950571
R	 0.00625	 0.25	 1	 527.720992122632	 175.738899303027	 483.976048541622	 75.0970808650185
R	 0.00625	 0.5	 1	 450.235420470411	 163.651887477027	 536.42079261089	 67.9893870331696
R	 0.00625	 1	 1	 439.563302187083	 152.236783244197	 565.895369134408	 76.5500146464046
R	 0.0125	 0	 1	 712.232914923291	 98.6001025237068	 294.318489738992	 38.6284777005184
R	 0.0125	 0.0625	 1	 734.785794126613	 98.5380680709149	 398.904074789147	 55.4548885059506
R	 0.0125	 0.125	 1	 475.408401768793	 185.476642184947	 512.045062118341	 74.6439209342812
R	 0.0125	 0.25	 1	 469.690176060006	 184.838612941937	 532.595374518179	 83.9365677718444
R	 0.0125	 0.5	 1	 418.310043668122	 141.094360516785	 578.08764090586	 87.6829594494168
R	 0.0125	 1	 1	 433.714583333333	 135.534454796457	 601.585813492063	 99.843621041595
R	 0.025	 0	 1	 779.880345853477	 128.677109513679	 292.294068426925	 45.3835545733813
R	 0.025	 0.0625	 1	 628.295996765063	 191.623212048967	 443.89112414072	 82.8854288284228
R	 0.025	 0.125	 1	 402.486902619476	 152.974033655804	 566.247550489902	 91.6088832360155
R	 0.025	 0.25	 1	 413.324149762842	 152.06255645952	 580.907861540014	 98.5692402470932
R	 0.025	 0.5	 1	 403.282503527515	 106.629902038454	 623.056137875428	 104.38744372065
R	 0.025	 1	 1	 439.499036022324	 113.413979038959	 659.052359208524	 106.862642746283
R	 0.05	 0	 1	 721.537269650244	 265.073255056651	 295.748176006017	 55.0575945370657
R	 0.05	 0.0625	 1	 404.370104240462	 138.982078596236	 578.879668049792	 102.671515394544
R	 0.05	 0.125	 1	 399.254105793451	 114.647583640572	 622.103879093199	 104.44272661102
R	 0.05	 0.25	 1	 413.298665580116	 112.303357214367	 657.831109300194	 110.549935787822
R	 0.05	 0.5	 1	 423.690350699372	 110.692564767094	 687.108960064869	 119.541016917159
R	 0.05	 1	 1	 431.377387712958	 110.129713824143	 719.760970573051	 109.124798126635
R	 0.1	 0	 1	 647.973290893994	 291.571293800041	 319.008095765292	 90.6014571820578
R	 0.1	 0.0625	 1	 397.368798565451	 108.00319955284	 635.89738991831	 111.083043233133
R	 0.1	 0.125	 1	 398.666933466733	 106.496492542738	 665.816108054027	 118.168679025713
R	 0.1	 0.25	 1	 391.805648008069	 103.115287939226	 673.522037317196	 116.631212006763
R	 0.1	 0.5	 1	 382.730514518594	 95.5912645190122	 720.558634742741	 116.284090962849
R	 0.1	 1	 1	 379.730690221857	 93.7056751547946	 737.038105998357	 117.624067911708
R	 10	 0	 1	 457.747632770688	 134.024070166517	 760.46325648415	 161.842955809302
R	 10	 0.0625	 1	 345.488381410256	 61.8573862754236	 774.458934294872	 122.9446732635
R	 10	 0.125	 1	 325.713748553799	 59.825611257738	 744.572984959506	 140.446423705874
R	 10	 0.25	 1	 316.90917911896	 58.8666788585079	 729.742771201242	 142.709814410939
R	 10	 0.5	 1	 310.117030653217	 54.8511878259056	 729.316815199295	 127.349867862309
R	 10	 1	 1	 306.637575403775	 54.7769677706714	 719.317474216774	 123.105341408706
