sample	 AHL	 IPTG	 fluo	 mean	 sd
R	 0	 0.125	 GREEN	 213	 1.15470053837925
R	 0	 0.125	 RED	 148	 8.08290376865476
R	 0	 0.25	 GREEN	 214.5	 2.88675134594813
R	 0	 0.25	 RED	 154	 15.0111069989303
R	 0	 0.5	 GREEN	 232.5	 23.6713610367747
R	 0	 0.5	 RED	 174.5	 8.66025403784439
R	 0	 1	 GREEN	 224	 4.61880215351701
R	 0	 1	 RED	 183	 18.475208614068
R	 0.003125	 0	 GREEN	 316.5	 0.577350269189626
R	 0.003125	 0	 RED	 38	 5.77350269189626
R	 0.003125	 0.0625	 GREEN	 319	 17.3205080756888
R	 0.003125	 0.0625	 RED	 101	 6.92820323027551
R	 0.003125	 0.125	 GREEN	 293	 23.094010767585
R	 0.003125	 0.125	 RED	 135	 4.61880215351701
R	 0.003125	 0.25	 GREEN	 215.5	 4.04145188432738
R	 0.003125	 0.25	 RED	 190	 5.77350269189626
R	 0.003125	 0.5	 GREEN	 103.5	 4.04145188432738
R	 0.003125	 0.5	 RED	 214	 0
R	 0.003125	 1	 GREEN	 103.5	 4.04145188432738
R	 0.003125	 1	 RED	 246	 19.6299091524473
R	 0.00625	 0	 GREEN	 341.5	 0.577350269189626
R	 0.00625	 0	 RED	 40.5	 19.0525588832576
R	 0.00625	 0.0625	 GREEN	 394.5	 23.6713610367747
R	 0.00625	 0.0625	 RED	 101	 6.92820323027551
R	 0.00625	 0.125	 GREEN	 323.5	 15.5884572681199
R	 0.00625	 0.125	 RED	 146.5	 5.19615242270663
R	 0.00625	 0.25	 GREEN	 107	 0
R	 0.00625	 0.25	 RED	 264	 10.3923048454133
R	 0.00625	 0.5	 GREEN	 97.5	 2.88675134594813
R	 0.00625	 0.5	 RED	 275.5	 2.88675134594813
R	 0.00625	 1	 GREEN	 100	 0
R	 0.00625	 1	 RED	 281	 21.9393102292058
R	 0.0125	 0	 GREEN	 446	 27.712812921102
R	 0.0125	 0	 RED	 46	 2.3094010767585
R	 0.0125	 0.0625	 GREEN	 441.5	 16.7431578064991
R	 0.0125	 0.0625	 RED	 120.5	 23.6713610367747
R	 0.0125	 0.125	 GREEN	 89	 6.92820323027551
R	 0.0125	 0.125	 RED	 248	 0
R	 0.0125	 0.25	 GREEN	 101	 6.92820323027551
R	 0.0125	 0.25	 RED	 268.5	 7.50555349946513
R	 0.0125	 0.5	 GREEN	 95	 0
R	 0.0125	 0.5	 RED	 298	 20.7846096908265
R	 0.0125	 1	 GREEN	 95	 0
R	 0.0125	 1	 RED	 312	 31.1769145362398
R	 0.025	 0	 GREEN	 597.5	 5.19615242270663
R	 0.025	 0	 RED	 42.5	 16.7431578064991
R	 0.025	 0.0625	 GREEN	 309	 241.332412521264
R	 0.025	 0.0625	 RED	 145	 6.92820323027551
R	 0.025	 0.125	 GREEN	 95	 0
R	 0.025	 0.125	 RED	 306.5	 0.577350269189626
R	 0.025	 0.25	 GREEN	 95	 0
R	 0.025	 0.25	 RED	 321	 9.23760430703401
R	 0.025	 0.5	 GREEN	 101	 6.92820323027551
