AHL	 IPTG	 fluo	 minmax	 median
0.0125	 0.5	 GREEN	 maximun	 694.5
0.0125	 0.5	 RED	 maximun	 590.75
0.0125	 1	 GREEN	 maximun	 708.5
0.0125	 1	 RED	 maximun	 620
0.025	 0	 GREEN	 maximun	 827.5
0.025	 0	 RED	 maximun	 295
0.025	 0.0625	 GREEN	 maximun	 722.5
0.025	 0.0625	 RED	 maximun	 530.5
0.025	 0.125	 GREEN	 maximun	 725
0.025	 0.125	 RED	 maximun	 566
0.025	 0.25	 GREEN	 maximun	 744.25
0.025	 0.25	 RED	 maximun	 589.5
0.025	 0.5	 GREEN	 maximun	 713.5
0.025	 0.5	 RED	 maximun	 654.5
0.025	 1	 GREEN	 maximun	 620.25
0.025	 1	 RED	 maximun	 644.5
0.05	 0	 GREEN	 maximun	 877
0.05	 0	 RED	 maximun	 299
0.05	 0.0625	 GREEN	 maximun	 756
0.05	 0.0625	 RED	 maximun	 589.5
0.05	 0.125	 GREEN	 maximun	 814
0.05	 0.125	 RED	 maximun	 633
0.05	 0.25	 GREEN	 maximun	 767
0.05	 0.25	 RED	 maximun	 663
0.05	 0.5	 GREEN	 maximun	 415.5
0.05	 0.5	 RED	 maximun	 689
0.05	 1	 GREEN	 maximun	 419
0.05	 1	 RED	 maximun	 703
0.1	 0	 GREEN	 maximun	 875
0.1	 0	 RED	 maximun	 672
0.1	 0.0625	 GREEN	 maximun	 751.5
0.1	 0.0625	 RED	 maximun	 656
0.1	 0.125	 GREEN	 maximun	 741
0.1	 0.125	 RED	 maximun	 688.5
0.1	 0.25	 GREEN	 maximun	 718
0.1	 0.25	 RED	 maximun	 699.5
0.1	 0.5	 GREEN	 maximun	 389.5
0.1	 0.5	 RED	 maximun	 724
0.1	 1	 GREEN	 maximun	 383.5
0.1	 1	 RED	 maximun	 735.75
10	 0	 GREEN	 maximun	 906.75
10	 0	 RED	 maximun	 820
10	 0.0625	 GREEN	 maximun	 867
10	 0.0625	 RED	 maximun	 803.5
10	 0.125	 GREEN	 maximun	 785
10	 0.125	 RED	 maximun	 785
10	 0.25	 GREEN	 maximun	 316
10	 0.25	 RED	 maximun	 769.5
10	 0.5	 GREEN	 maximun	 308.5
10	 0.5	 RED	 maximun	 756.5
10	 1	 GREEN	 maximun	 305
10	 1	 RED	 maximun	 750.5
