sample	 AHL	 IPTG	 fluo	 mean	 sd
R	 0	 0	 RED	 290.251313931653	 NA
R	 0	 0.0625	 GREEN	 542.105762304067	 NA
R	 0	 0.0625	 RED	 394.125672820334	 NA
R	 0	 0.125	 GREEN	 538.83994075766	 NA
R	 0	 0.125	 RED	 413.856922279891	 NA
R	 0	 0.25	 GREEN	 536.467022469696	 NA
R	 0	 0.25	 RED	 430.981451997576	 NA
R	 0	 0.5	 GREEN	 539.714638986004	 NA
R	 0	 0.5	 RED	 442.608850217788	 NA
R	 0	 1	 GREEN	 552.324982715343	 NA
R	 0	 1	 RED	 453.559609519387	 NA
R	 0.003125	 0	 GREEN	 608.711169718845	 NA
R	 0.003125	 0	 RED	 294.655234816336	 NA
R	 0.003125	 0.0625	 GREEN	 616.770508931106	 NA
R	 0.003125	 0.0625	 RED	 385.893413844186	 NA
R	 0.003125	 0.125	 GREEN	 600.791857635239	 NA
R	 0.003125	 0.125	 RED	 404.271432019179	 NA
R	 0.003125	 0.25	 GREEN	 548.936529129984	 NA
R	 0.003125	 0.25	 RED	 447.523767156971	 NA
R	 0.003125	 0.5	 GREEN	 504.872012361537	 NA
R	 0.003125	 0.5	 RED	 483.441031348362	 NA
R	 0.003125	 1	 GREEN	 470.868810703366	 NA
R	 0.003125	 1	 RED	 510.474906695761	 NA
R	 0.00625	 0	 GREEN	 657.283050233899	 NA
R	 0.00625	 0	 RED	 293.859011864083	 NA
R	 0.00625	 0.0625	 GREEN	 678.696292094938	 NA
R	 0.00625	 0.0625	 RED	 386.544508721145	 NA
R	 0.00625	 0.125	 GREEN	 588.463604104229	 NA
R	 0.00625	 0.125	 RED	 427.68387255106	 NA
R	 0.00625	 0.25	 GREEN	 502.390585185508	 NA
R	 0.00625	 0.25	 RED	 492.982436255414	 NA
R	 0.00625	 0.5	 GREEN	 441.805495967995	 NA
R	 0.00625	 0.5	 RED	 535.488121235644	 NA
R	 0.00625	 1	 GREEN	 432.324700439753	 NA
R	 0.00625	 1	 RED	 557.463365615175	 NA
R	 0.0125	 0	 GREEN	 724.342385066329	 NA
R	 0.0125	 0	 RED	 292.457618807387	 NA
R	 0.0125	 0.0625	 GREEN	 734.42291357263	 NA
R	 0.0125	 0.0625	 RED	 397.373220088924	 NA
R	 0.0125	 0.125	 GREEN	 460.07437147352	 NA
R	 0.0125	 0.125	 RED	 515.778812612534	 NA
R	 0.0125	 0.25	 GREEN	 444.389027572126	 NA
R	 0.0125	 0.25	 RED	 541.952286138411	 NA
R	 0.0125	 0.5	 GREEN	 413.030877254132	 NA
R	 0.0125	 0.5	 RED	 577.863178560965	 NA
R	 0.0125	 1	 GREEN	 422.993959742861	 NA
R	 0.0125	 1	 RED	 594.84885707425	 NA
R	 0.025	 0	 GREEN	 818.154150839083	 NA
R	 0.025	 0	 RED	 292.734286733571	 NA
R	 0.025	 0.0625	 GREEN	 595.149497024992	 NA
R	 0.025	 0.0625	 RED	 458.804541913894	 NA
R	 0.025	 0.125	 GREEN	 404.354615717895	 NA
R	 0.025	 0.125	 RED	 573.902857308747	 NA
R	 0.025	 0.25	 GREEN	 411.827209105879	 NA
R	 0.025	 0.25	 RED	 595.831293129511	 NA
R	 0.025	 0.5	 GREEN	 403.98197155324	 NA
R	 0.025	 0.5	 RED	 627.489259226694	 NA
R	 0.025	 1	 GREEN	 424.153259243775	 NA
R	 0.025	 1	 RED	 648.504140521234	 NA
R	 0.05	 0	 GREEN	 861.821319662176	 NA
R	 0.05	 0	 RED	 298.720997142678	 NA
R	 0.05	 0.0625	 GREEN	 407.209678768749	 NA
R	 0.05	 0.0625	 RED	 598.5054506481	 NA
R	 0.05	 0.125	 GREEN	 406.054325453127	 NA
R	 0.05	 0.125	 RED	 638.307551279382	 NA
R	 0.05	 0.25	 GREEN	 413.77462798871	 NA
R	 0.05	 0.25	 RED	 663.827985333759	 NA
R	 0.05	 0.5	 GREEN	 421.920329068449	 NA
R	 0.05	 0.5	 RED	 690.788933654184	 NA
R	 0.05	 1	 GREEN	 421.795460493986	 NA
R	 0.05	 1	 RED	 701.492820451907	 NA
R	 0.1	 0	 GREEN	 822.521961369279	 NA
R	 0.1	 0	 RED	 339.620313576784	 NA
R	 0.1	 0.0625	 GREEN	 415.212314716941	 NA
R	 0.1	 0.0625	 RED	 661.30738251454	 NA
R	 0.1	 0.125	 GREEN	 412.704967028723	 NA
R	 0.1	 0.125	 RED	 689.872606966758	 NA
R	 0.1	 0.25	 GREEN	 405.553051213666	 NA
R	 0.1	 0.25	 RED	 699.320451291192	 NA
R	 0.1	 0.5	 GREEN	 392.116493984294	 NA
R	 0.1	 0.5	 RED	 720.207298594766	 NA
R	 0.1	 1	 GREEN	 387.548742428581	 NA
R	 0.1	 1	 RED	 728.5350308346	 NA
R	 10	 0	 GREEN	 486.77157690349	 NA
R	 10	 0	 RED	 773.574489269681	 NA
R	 10	 0.0625	 GREEN	 352.478057987195	 NA
R	 10	 0.0625	 RED	 795.585242652381	 NA
R	 10	 0.125	 GREEN	 331.854565943774	 NA
R	 10	 0.125	 RED	 775.112821773606	 NA
R	 10	 0.25	 GREEN	 322.099014104079	 NA
R	 10	 0.25	 RED	 759.578010660046	 NA
R	 10	 0.5	 GREEN	 315.227508900787	 NA
R	 10	 0.5	 RED	 748.31069385879	 NA
R	 10	 1	 GREEN	 314.616867577449	 NA
R	 10	 1	 RED	 740.979303473042	 NA
